wave_code,wave_label,is_latest,total_display_variables,trend_eligible_variables,latest_wave_only_count
1,W13,False,1499,19,0
2,W14,False,1499,19,0
3,W15,False,1499,19,0
4,W16,False,1499,19,0
5,W17,False,1499,19,0
6,W18,False,1499,19,0
7,W19,False,1499,19,0
8,W20,False,1499,19,0
9,W21,False,1499,19,0
10,W22,False,1499,19,0
11,W23,False,1499,19,0
12,W24,False,1499,19,0
13,W25,False,1499,19,0
14,W26,False,1499,19,0
15,W28,False,1499,19,0
16,W29,False,1499,19,0
17,W30,False,1499,19,0
18,W31,False,1499,19,0
19,W32,False,1499,19,0
20,W33,True,161,19,82
