variable,question_family,question_text,review_category,option_diff_note,reason_blocked,is_whitelisted,historical_value_count,w33_value_count,historical_values,w33_values,recommendation
A1,A1,A1,LABELS_IN_W33_ONLY,No historical labels (W33 has labels),Response options differ between waves,False,0,7,{},"{""1"": ""Under 18"", ""2"": ""18 – 24"", ""3"": ""25 – 34"", ""4"": ""35 – 44"", ""5"": ""45 – 54"", ""6"": ""55 – 65"", ""7"": ""66 or older""}",Column in both datasets. Likely trendable — labels only documented on one side.
A1E90,A1E90,A1E90,LABELS_IN_W33_ONLY,No historical labels (W33 has labels),Response options differ between waves,False,0,2,{},"{""1"": ""18 - 59"", ""2"": ""60+""}",Column in both datasets. Likely trendable — labels only documented on one side.
A1_25_to_75,A1_25_to_75,A1_25_to_75,LABELS_IN_W33_ONLY,No historical labels (W33 has labels),Response options differ between waves,False,0,2,{},"{""1"": ""Yes"", ""2"": ""No""}",Column in both datasets. Likely trendable — labels only documented on one side.
A1_GroupedNew,A1_GroupedNew,A1_GroupedNew,LABELS_IN_W33_ONLY,No historical labels (W33 has labels),Response options differ between waves,False,0,2,{},"{""1"": ""18-29 (Gen Z)"", ""2"": ""30-75 (Non Gen Z)""}",Column in both datasets. Likely trendable — labels only documented on one side.
A1over21,A1ove,A1over21,LABELS_IN_W33_ONLY,No historical labels (W33 has labels),Response options differ between waves,False,0,7,{},"{""1"": ""Checked"", ""2"": ""No"", ""0"": ""Unchecked"", ""[A1_Generation_W33r1]"": ""18-29 (Gen Z)"", ""[A1_Generation_W33r2]"": ""30-45 (Millennial)"", ""[A1_Generation_W33r3]"": ""46-61 (Gen X)"", ""[A1_Generation_W33r4]"": ""62-75 (Boomers)""}",Column in both datasets. Likely trendable — labels only documented on one side.
A6,A6,What is your race or ethnic background?,CODED_RESPONSE_CHANGE,"W33 added: 4=Hispanic or Latino; 5=American Indian, Alaska Native, Native Hawaiian or other Pacific Islander; 6=Other ethnicity: please specify | W33 removed: 4=American Indian, Alaska Native, Native Hawaiian or other Pacific Islander; 5=Other ethnicity: please specify | Option count: 5 -> 6",Response options differ between waves,False,5,6,"{""1"": ""White or Caucasian"", ""2"": ""Black or African American"", ""3"": ""Asian"", ""4"": ""American Indian, Alaska Native, Native Hawaiian or other Pacific Islander"", ""5"": ""Other ethnicity: please specify""}","{""1"": ""White or Caucasian"", ""2"": ""Black or African American"", ""3"": ""Asian"", ""4"": ""Hispanic or Latino"", ""5"": ""American Indian, Alaska Native, Native Hawaiian or other Pacific Islander"", ""6"": ""Other ethnicity: please specify""}",Response options changed. Review if collapsible or if difference is acceptable.
Demox1r1,Demox1,Demox1r1,BOTH_UNDOCUMENTED,Both sides undocumented,Response options differ between waves,False,0,0,{},{},Column in both datasets. Likely trendable — labels only documented on one side.
Demox1r2,Demox1,Demox1r2,BOTH_UNDOCUMENTED,Both sides undocumented,Response options differ between waves,False,0,0,{},{},Column in both datasets. Likely trendable — labels only documented on one side.
Demox1r3,Demox1,Demox1r3,BOTH_UNDOCUMENTED,Both sides undocumented,Response options differ between waves,False,0,0,{},{},Column in both datasets. Likely trendable — labels only documented on one side.
Demox1r4,Demox1,Demox1r4,BOTH_UNDOCUMENTED,Both sides undocumented,Response options differ between waves,False,0,0,{},{},Column in both datasets. Likely trendable — labels only documented on one side.
